kode_barang,Nama Produk,cabang,stok,harga_jual,kategori
1002798,Monster Vape Labs 60ml - Grape 3mg,Bangil,1,200000,liquid
1002818,Besti Salt 30ml - Blueberry 30mg,Bangil,2,120000,liquid
1002821,Besti Salt 30ml - Thai Tea 30mg,Bangil,1,120000,liquid
1002850,Foom Salt 30ml - Icy Berry 30mg,Bangil,2,110000,liquid
1002851,Foom Salt 30ml - Icy Mango 30mg,Bangil,1,110000,liquid
1002863,Foom Salt Zodiac Series 30ml - Gemini 30mg,Bangil,1,110000,liquid
1002869,Foom Salt 30ml - Icy Menthol 50mg,Bangil,2,110000,liquid
1002875,Monster Vape Labs The Milk 15ml - Fruity 48mg,Bangil,1,115000,liquid
1002979,Hanna Pods Friendly Series 30ml - Mango 15mg,Bangil,3,75000,liquid
1002980,Moon Rabbit 60ml - Strawberry Peanut Mochi 3mg,Bangil,1,155000,liquid
1002991,Cake Drips 60ml - Banana 3mg,Bangil,1,145000,liquid
1003016,Foom Salt 30ml - Strawberry Ice Cream 30mg,Bangil,1,110000,liquid
1003151,Hanna Pods Friendly Series 30ml - Lychee 15mg,Bangil,2,75000,liquid
1003155,Mango Hanna 60ml - 3mg,Bangil,1,100000,liquid
1003160,Hanna Pods Friendly Series 30ml - Berry 15mg,Bangil,3,75000,liquid
1003162,Besti Salt 30ml - Lychee 30mg,Bangil,2,120000,liquid
1003215,Foom Salt 30ml - Blueberry Cheese Ice Cream 30mg,Bangil,1,110000,liquid
1003216,Foom Salt 30ml - Chocolate Ice Cream 30mg,Bangil,1,110000,liquid
1003228,American Fruity 60ml - Strawberry Smoothies 3mg,Bangil,1,140000,liquid
1003230,American Fruity Pod Friendly 30ml - Strawberry 12mg,Bangil,1,100000,liquid
1003253,Crackz Ice 60ml - Strawberry Cheese Ice Cream 6mg,Bangil,1,140000,liquid
1003259,Juta Freeze Salt 15ml - Double Mango 10mg,Bangil,1,40000,liquid
1003260,Juta Freeze Salt 15ml - Purple Grape 10mg,Bangil,1,40000,liquid
1003261,Komodo Breakfast 60ml - Not So Lazy 9mg,Bangil,1,145000,liquid
1003278,Monster Vape Labs 60ml - Banana 3mg,Bangil,1,200000,liquid
1003280,Monster Vape Labs 60ml - Blueberry 3mg,Bangil,1,200000,liquid
1003281,Monster Vape Labs 60ml - Blueberry 6mg,Bangil,1,200000,liquid
1003315,Nikmat 30ml - V2 Blueberry Rolls Pastry 15mg,Bangil,2,95000,liquid
1003396,American Winter Tea Edition 30ml - Lychee Tea 24mg,Bangil,2,115000,liquid
1003402,Bequ Series 60ml - Watermelon 3mg,Bangil,1,135000,liquid
1003408,Foom Salt 30ml - Iced Lemon Tea 30mg,Bangil,1,110000,liquid
1003481,Aflo Series 60ml - Nutty Caramel 6mg,Bangil,1,140000,liquid
1003484,Cendol Jinak 60ml - 3mg,Bangil,2,125000,liquid
1003503,Hanna Pods Friendly Series 30ml - Tea 15mg,Bangil,2,75000,liquid
1003527,Morning Astro 15ml - White Chocolate 3mg,Bangil,1,0,liquid
1003722,Hompimpa Top 60ml - 3mg,Bangil,1,150000,liquid
1003736,Aqua Salt 15ml - Menthol 25mg,Bangil,1,50000,liquid
1003737,Omnipod Pods Friendly 4 x 15ml - Milkshake 12mg,Bangil,3,35000,liquid
1003750,Foom Salt BW Series 30ml - Matcha Latte 30mg,Bangil,1,110000,liquid
1003804,Hanna Pods Friendly Series 30ml - Apple 15mg,Bangil,2,75000,liquid
1003826,Lunar Ice Cream 60ml - Japanese Ice Cream 3mg,Bangil,1,160000,liquid
1003847,Liqueen 60ml - V2 Strawberry Cheesecake 6mg,Bangil,1,150000,liquid
1003897,Crackz Ice Saltnic 30ml - V4 Pudding Ice Cream 25mg,Bangil,1,110000,liquid
1003901,LCV 60ml Creamy - Strawberry Stick 3mg,Bangil,2,90000,liquid
1003902,LCV 60ml Creamy - Strawberry Stick 6mg,Bangil,1,90000,liquid
1003903,LCV 60ml Creamy - Roti Eropa 3mg,Bangil,3,90000,liquid
1003904,LCV 60ml Creamy - Roti Eropa 6mg,Bangil,3,90000,liquid
1003920,Ox Passion 30ml - Ice Strawberry 30mg,Bangil,1,100000,liquid
1003972,Omnipod Pods Friendly 4 x 15ml - Fruity Tropical 12mg,Bangil,4,35000,liquid
1003973,Juta Freeze Salt 15ml - Korean Banana Ice Cream Mild 10mg,Bangil,3,40000,liquid
1003974,Juta Freeze Salt 15ml - Taro Ice Cream Mild 10mg,Bangil,4,40000,liquid
1003980,Foom Salt 30ml - Icy Lychee 30mg,Bangil,1,110000,liquid
1004026,Subohm Hero57 60ml Edition - Strawberry Doughnut 3mg,Bangil,1,155000,liquid
1004027,Subohm Hero57 60ml Edition - Strawberry Doughnut 6mg,Bangil,1,155000,liquid
1004111,Monster Vape Labs 60ml - Mango 3mg,Bangil,1,200000,liquid
1004112,Monster Vape Labs 60ml - Mango 6mg,Bangil,1,200000,liquid
1004117,Juta Mild Series 60ml - Rainbow Ice Cream 10mg,Bangil,1,140000,liquid
1004120,Cremelands Saltnic 30ml - Blueberry Cream 30mg,Bangil,1,100000,liquid
1004121,Cremelands Saltnic 30ml - Strawberry Cream 30mg,Bangil,1,100000,liquid
1004123,LCV 60ml Creamy - Blue Crepes 3mg,Bangil,2,90000,liquid
1004124,LCV 60ml Creamy - Blue Crepes 6mg,Bangil,2,90000,liquid
1004130,The O Rama 60ml - V4 Yubari Melon 3mg,Bangil,1,155000,liquid
1004144,Foom Salt 30ml - Red Apple 30mg,Bangil,1,110000,liquid
1004145,Foom Salt BW Series 30ml - Frappucino 30mg,Bangil,1,110000,liquid
1004152,Juta Freeze Salt 15ml - Artisan Coffee 10mg,Bangil,3,40000,liquid
1004155,Makna 60ml - Taro Cheese Milk 7mg,Bangil,1,140000,liquid
1004228,The O Rama Pods Friendly 30ml - V4 Yubari Melon 15mg,Bangil,1,95000,liquid
1004232,Ox Passion 30ml - Ice Cream Strawberry 30mg,Bangil,1,100000,liquid
1004239,Crackz Ice 60ml - V5 Blueberry Ice Cream 3mg,Bangil,1,140000,liquid
1004240,Crackz Ice 60ml - V5 Blueberry Ice Cream 6mg,Bangil,1,140000,liquid
1004271,Foom Salt 30ml - Vanilla Ice Cream 30mg,Bangil,1,110000,liquid
1004272,Foom Salt 30ml - Tiramisu Ice Cream 30mg,Bangil,1,110000,liquid
1004275,Foom Salt Tea Series 30ml - Strawberry Grape Tea 30mg,Bangil,1,110000,liquid
1004287,Hanna Pods Friendly Series 30ml - Watermelon 15mg,Bangil,2,75000,liquid
1004297,Rex 57 Saltnic 30ml - Blueberry Milk Toast 30mg,Bangil,1,120000,liquid
1004322,FCKS Saltnic 30ml - Vape Tounge Killer (Red) 30mg,Bangil,1,110000,liquid
1004346,Ox Passion 30ml - Ice Soursop 30mg,Bangil,1,100000,liquid
1004352,Foom Salt 30ml - Mixed Berry Ice Cream 30mg,Bangil,2,110000,liquid
1004385,Premium Donuts 60ml - Matcha 3mg,Bangil,1,145000,liquid
1004406,Hanna Pods Friendly Series 30ml - Matcha 15mg,Bangil,2,75000,liquid
1004436,Selleragoll Creamy Pods Friendly Series 15ml - Blueberry Poundcake 12mg,Bangil,1,37000,liquid
1004437,Selleragoll Creamy Pods Friendly Series 15ml - Cheese Poundcake 12mg,Bangil,1,37000,liquid
1004438,Selleragoll Creamy Pods Friendly Series 15ml - Strawberry Poundcake 12mg,Bangil,3,37000,liquid
1004452,Makna Seasalt 60ml - Caramel Latte 3mg,Bangil,1,140000,liquid
1004458,LCV Slim Saltnic Series 15ml - Black Purple 15mg,Bangil,8,40000,liquid
1004467,Cromboloni 60ml - Strawberry Cream 3mg,Bangil,1,155000,liquid
1004472,Crackz Ice 60ml - V6 Taro Ice Cream 3mg,Bangil,1,140000,liquid
1004473,Crackz Ice 60ml - V6 Taro Ice Cream 6mg,Bangil,1,140000,liquid
1004474,Crackz Ice Saltnic 30ml - V6 Taro Ice Cream 25mg,Bangil,1,110000,liquid
1004506,Parfait Saltnic 30ml - Strawberry 25mg,Bangil,1,75000,liquid
1004507,Parfait Saltnic 30ml - Strawberry 50mg,Bangil,1,75000,liquid
1004515,Hanna Pods Friendly Series 30ml - Blueberry 15mg,Bangil,1,75000,liquid
1004525,Subohm Hero57 60ml Edition - Blueberry Doughnut 9mg,Bangil,1,155000,liquid
1004526,Subohm Hero57 60ml Edition - Strawberry Doughnut 9mg,Bangil,1,155000,liquid
1004529,Juta Freeze Salt 15ml - Sweet Strawberry 10mg,Bangil,4,40000,liquid
1004544,Foom Salt 30ml - Green Kiwi 30mg,Bangil,1,110000,liquid
1004555,American Dessert V4 60ml - Milk Cheese Taro 6mg,Bangil,1,155000,liquid
1004556,Rex 57 60ml - Strawberry Milk Toast 9mg,Bangil,1,155000,liquid
1004558,Lunar Ice Cream 60ml - Banana Ice Cream 3mg,Bangil,1,160000,liquid
1004563,The O Rama 60ml - G2 Strawberry Cheesecake 3mg,Bangil,1,155000,liquid
1004564,The O Rama 60ml - G2 Strawberry Cheesecake 6mg,Bangil,1,155000,liquid
1004585,American Dessert V4 60ml - Milk Cheese Taro 9mg,Bangil,1,155000,liquid
1004586,Liquid Bobon 60ml - Cream Strawberry Cheese 3mg,Bangil,1,150000,liquid
1004587,Liquid Bobon 60ml - Cream Strawberry Cheese 6mg,Bangil,1,150000,liquid
1004588,Liquid Bobon 60ml - Cream Strawberry Cheese 9mg,Bangil,1,150000,liquid
1004592,Hanna Pods Friendly Series 30ml - Sousop 15mg,Bangil,1,75000,liquid
1004594,Bad Fellas 60ml - Vanilla Almond 3mg,Bangil,1,150000,liquid
1004605,Blondies Blast Series 60ml - Blueberry Muffin 3mg,Bangil,2,155000,liquid
1004609,Juta Freeze Salt 15ml - Red Apple 10mg,Bangil,2,40000,liquid
1004612,Monster Vape Labs 60ml - Raspberry 3mg,Bangil,1,200000,liquid
1004616,Suxx Xeed 60ml - Puff Purple Chevvy 6mg,Bangil,1,160000,liquid
1004631,Crackz Ice 60ml - V7 Cookies Ice Cream 3mg,Bangil,1,140000,liquid
1004632,Crackz Ice 60ml - V7 Cookies Ice Cream 6mg,Bangil,1,140000,liquid
1004633,Crackz Ice 60ml - V8 Matcha Ice Cream 3mg,Bangil,1,140000,liquid
1004637,Takis Es Poeter Saltnic Series 30ml - Alpukat 30mg,Bangil,1,69000,liquid
1004638,Takis Es Poeter Saltnic Series 30ml - Coklat 30mg,Bangil,1,69000,liquid
1004639,Takis Es Poeter Saltnic Series 30ml - Ketan Hitam 30mg,Bangil,1,69000,liquid
1004640,Takis Es Poeter Saltnic Series 30ml - Strawberry 30mg,Bangil,1,69000,liquid
1004643,Juta Freeze Salt 15ml - Lychee 10mg,Bangil,1,40000,liquid
1004644,Hanna Pods Friendly Series 30ml - Taro 15mg,Bangil,2,75000,liquid
1004646,Makna 60ml - Berry Dough Ice 7mg,Bangil,1,140000,liquid
1004673,Crackz Ice 60ml - V9 Indonesia Ice Cream 3mg,Bangil,1,140000,liquid
1004676,Makna 60ml - Matcha Coconut Mousse 3mg,Bangil,1,140000,liquid
1004678,Crackz Ice 60ml - V9 Indonesia Ice Cream 6mg,Bangil,1,140000,liquid
1004683,Ox Passion Premium 30ml - Lychee Peach 30mg,Bangil,1,105000,liquid
1004684,Ox Passion Premium 30ml - Mango Peach Guava 30mg,Bangil,1,105000,liquid
1004686,Suxx Xeed 60ml - Puff Strawberry Froyo 3mg,Bangil,1,160000,liquid
1004687,Suxx Xeed 60ml - Puff Strawberry Froyo 6mg,Bangil,1,160000,liquid
1004701,Hanna Pods Friendly Series 15ml - Matcha 15mg,Bangil,2,40000,liquid
1004708,Takis Saltnic Series 30ml - Mango Peach 30mg,Bangil,1,69000,liquid
1004709,Takis Saltnic Series 30ml - Strawberry Watermelon 30mg,Bangil,2,69000,liquid
1004718,Bule Bolu Saltnic 30ml - 35mg,Bangil,1,120000,liquid
1004719,Vanillalicious Saltnic 30ml - 35mg,Bangil,1,120000,liquid
1004720,Dopamine Series Saltnic Pack 15ml - Candy 9mg,Bangil,1,37500,liquid
1004725,Inverse 60ml - Stardust 3mg,Bangil,1,160000,liquid
1004726,Inverse 60ml - Stardust 6mg,Bangil,2,160000,liquid
1004728,Yelo 60ml - Blueberry Cheese Tart 7mg,Bangil,1,100000,liquid
1004729,Yelo 60ml - Matcha Milk Cheese 3mg,Bangil,1,95000,liquid
1004732,Yelo 60ml - Taro Milk Cheese 7mg,Bangil,1,100000,liquid
1004735,Besti Salt Matcha Series 30ml - Lychee Matcha 30mg,Bangil,1,120000,liquid
1004736,Besti Salt Matcha Series 30ml - Strawberry Matcha 30mg,Bangil,1,120000,liquid
1004752,The Coffin Pop 60ml - Asian Dolce Latte 4mg,Bangil,1,160000,liquid
1004753,The Coffin Pop 60ml - Asian Dolce Latte 7mg,Bangil,1,160000,liquid
1004755,Crackz Ice Pack Saltnic 15ml - V6 Taro Ice Cream 25mg,Bangil,2,47000,liquid
1004756,Crackz Ice Pack Saltnic 15ml - V8 Matcha Ice Cream 25mg,Bangil,3,47000,liquid
1004759,Bequ Mix Series 60ml - Banana Kiwi 3mg,Bangil,1,135000,liquid
1004763,Berry Mochi 60ml - 3mg,Bangil,1,150000,liquid
1004764,Berry Mochi 60ml - 6mg,Bangil,1,150000,liquid
1004766,Liquid Bobon 60ml - Cream Blueberry Cheese 6mg,Bangil,2,150000,liquid
1004770,Vem Jam Series 60ml - Blueberry Jam 6mg,Bangil,1,155000,liquid
1004773,Hanna Pods Friendly Bubblegum Series 30ml - Mango 15mg,Bangil,1,75000,liquid
1004774,Hanna Pods Friendly Bubblegum Series 30ml - Melon 15mg,Bangil,1,75000,liquid
1004775,Hanna Pods Friendly Bubblegum Series 30ml - Strawberry 15mg,Bangil,2,75000,liquid
1004781,Blondies 60ml - V3 Blueberry Cheese Cream Bake 8mg,Bangil,1,150000,liquid
1004795,R99 Cream 60ml - Pistachio Cheesecake 6mg,Bangil,1,155000,liquid
1004799,Soonix Saltnic Series 30ml - Ice Strawberry Smoothie 30mg,Bangil,1,115000,liquid
1004821,Crackz Ice Saltnic Fruity Series 30ml - Lychee 25mg,Bangil,1,110000,liquid
1004823,Crackz Ice Saltnic Fruity Series 30ml - Strawberry 25mg,Bangil,1,110000,liquid
1004829,Suxx Xeed 60ml - Choco Bandeja 6mg,Bangil,2,160000,liquid
1004830,Suxx Xeed 60ml - Vanilla Vibora 3mg,Bangil,1,160000,liquid
1004831,Suxx Xeed 60ml - Vanilla Vibora 6mg,Bangil,1,160000,liquid
1004843,American Winter Candy Saltnic 30ml - Pineapple 24mg,Bangil,1,115000,liquid
1004845,The O Rama 60ml - V4 Banana Butter Toast 3mg,Bangil,1,155000,liquid
1004846,The O Rama 60ml - V4 Banana Butter Toast 6mg,Bangil,1,155000,liquid
1004847,The O Rama Pods Friendly 30ml - V4 Banana Butter Toast 15mg,Bangil,1,95000,liquid
1004848,Cheeze Masterpiece 60ml - Honeydew Cheese 3mg,Bangil,1,150000,liquid
1004860,Crackz Ice Saltnic Fruity Series 30ml - Blackcurrant 25mg,Bangil,1,110000,liquid
1004861,Crackz Ice Saltnic Fruity Series 30ml - Honeydew 25mg,Bangil,1,110000,liquid
1004862,Crackz Ice Saltnic Fruity Series 30ml - Mango 25mg,Bangil,1,110000,liquid
1004864,Foom Salt Asian Series 30ml - Thai Mango Sticky Rice 30mg,Bangil,1,110000,liquid
1004865,Foom Salt Asian Series 30ml - Vietnam Drip Coffee 30mg,Bangil,1,110000,liquid
1004875,R99 Cream 60ml - Pistachio Cheesecake 3mg,Bangil,1,155000,liquid
1004879,Makna Sachet Saltnic Series 6 x 15ml - Cool Mango 20mg,Bangil,2,47000,liquid
1004883,Takis Saltnic Series 30ml - Blueberry Kiwi 30mg,Bangil,1,69000,liquid
1004884,Takis Saltnic Series 30ml - Melon Blackberry 30mg,Bangil,2,69000,liquid
1004889,Crackz Ice Pack Saltnic 15ml - V1 Strawberry Cheese Ice Cream 25mg,Bangil,1,47000,liquid
1004890,Crackz Ice Pack Saltnic 15ml - V5 Blueberry Ice Cream 25mg,Bangil,5,47000,liquid
1004891,Crackz Ice Pack Saltnic 15ml - V7 Cookies Ice Cream 25mg,Bangil,1,47000,liquid
1004911,Bequ Mix Series 60ml - Mango Raspberry 3mg,Bangil,1,135000,liquid
1004913,Bequ Saltnic Mix Series 30ml - Mango Raspberry 30mg,Bangil,1,110000,liquid
1004916,Lunar Donut 60ml - Strawberry Cream 3mg,Bangil,1,160000,liquid
1004918,Lunar Donut Saltnic 30ml - Strawberry Cream 30mg,Bangil,1,120000,liquid
1004929,Foom Salt Smoothies Series 30ml - Strawberry 30mg,Bangil,1,110000,liquid
1004930,Takis Saltnic Series 30ml - Banana Kiwi 30mg,Bangil,1,69000,liquid
1004931,Takis Saltnic Series 30ml - Grape Apple 30mg,Bangil,2,69000,liquid
1004932,Takis Saltnic Series 30ml - Pineapple Mango 30mg,Bangil,2,69000,liquid
1004934,Takis Es Poeter Saltnic Series 30ml - Jagung 30mg,Bangil,1,69000,liquid
1004941,Furla 60ml - V3 Melon Pudding 6mg,Bangil,1,155000,liquid
1004942,Crackz Ice Pack Saltnic 15ml - V10 Honeydew Ice Cream 25mg,Bangil,3,47000,liquid
1004948,Tokyo Wafer Series 60ml - Wafer Chocolate 3mg,Bangil,2,160000,liquid
1004949,Tokyo Wafer Series 60ml - Wafer Chocolate 6mg,Bangil,2,160000,liquid
1004954,Foom Salt Slof Series 15ml - Icy Strawberry 30mg,Bangil,1,57500,liquid
1004955,Foom Salt Slof Series 15ml - Matcha Latte 30mg,Bangil,3,57500,liquid
1004968,Omnipod Pods Friendly 4 x 15ml - V2 Ice Cream Series 12mg,Bangil,1,35000,liquid
1004969,ZLabs 60ml - Strawberry Jam Biscuit 3mg,Bangil,1,150000,liquid
1004971,Juicenation Friendly Pack Fruity Series 4 x 15ml - Kiwi Apple 25mg,Bangil,2,40000,liquid
1004972,Juicenation Friendly Pack Fruity Series 4 x 15ml - Mango 25mg,Bangil,1,40000,liquid
1004977,Inverse X Tonga 60ml - Green Mambo 3mg,Bangil,2,160000,liquid
1004978,Inverse X Tonga 60ml - Green Mambo 6mg,Bangil,2,160000,liquid
1004985,Juta Freeze Salt 15ml - Blackcurrant 10mg,Bangil,2,40000,liquid
1004986,Juta Freeze Salt 15ml - Watermelon 10mg,Bangil,1,40000,liquid
1004987,Robacks Monster Ice Cream Line 60ml - Matcha 3mg,Bangil,1,155000,liquid
1004988,Robacks Monster Ice Cream Line 60ml - Matcha 6mg,Bangil,1,155000,liquid
1004989,Robacks Monster Ice Cream Line 60ml - Monas 3mg,Bangil,1,155000,liquid
1004990,Robacks Monster Ice Cream Line 60ml - Monas 6mg,Bangil,1,155000,liquid
1004991,Robacks Monster Ice Cream Line 60ml - Salted Caramel 3mg,Bangil,1,155000,liquid
1004992,Robacks Monster Ice Cream Line 60ml - Salted Caramel 6mg,Bangil,1,155000,liquid
1004995,Crackz Ice Saltnic Bubblegum Series 30ml - Honeydew 25mg,Bangil,1,110000,liquid
1004998,Omnipod Pods Friendly 4 x 15ml - Fruity 12mg,Bangil,2,35000,liquid
1004999,Omnipod Pods Friendly 4 x 15ml - V2 Creamy 12mg,Bangil,1,35000,liquid
1005001,Lunar Ice Cream 60ml - Strawberry Cheesecake 3mg,Bangil,1,160000,liquid
1005002,Lunar Ice Cream 60ml - Strawberry Cheesecake 6mg,Bangil,2,160000,liquid
1005004,Tokyo Wafer Saltnic Series 30ml - Wafer Vanilla 30mg,Bangil,1,120000,liquid
1005005,LCV Saltnic Creamy Series 30ml - Blue Crepes 30mg,Bangil,1,75000,liquid
1005006,LCV Saltnic Creamy Series 30ml - Cake Lady Banana 30mg,Bangil,1,75000,liquid
1005007,LCV Saltnic Creamy Series 30ml - Cake Lady Strawberry 30mg,Bangil,1,75000,liquid
1005008,LCV Saltnic Creamy Series 30ml - Roti Eropa 30mg,Bangil,1,75000,liquid
1005010,LCV Saltnic Creamy Series 30ml - Strawberry Stick 30mg,Bangil,1,75000,liquid
1005011,Takis Saltnic Series 30ml - Guava Strawberry 30mg,Bangil,1,69000,liquid
1005012,Takis Saltnic Series 30ml - Lychee Pear 30mg,Bangil,1,69000,liquid
1005013,Takis Saltnic Series 30ml - Markisa Kelapa 30mg,Bangil,1,69000,liquid
1005015,Makna Ice Seasalt 60ml - Caramel Latte 6mg,Bangil,1,140000,liquid
1005016,Makna Ice Saltnic Series 30ml - Berry Dough 30mg,Bangil,1,120000,liquid
1005017,Makna Ice Saltnic Series 30ml - Seasalt Caramel Latte 30mg,Bangil,1,120000,liquid
1005018,Makna Ice Saltnic Series 30ml - Taro Cheese Milk 30mg,Bangil,1,120000,liquid
1005019,Liqueen 60ml - V4 Tokyo Banana Strawberry Ginza 3mg,Bangil,1,150000,liquid
1005020,Liqueen 60ml - V4 Tokyo Banana Strawberry Ginza 6mg,Bangil,1,150000,liquid
1005022,Crackz 60ml - Banana Softcake 3mg,Bangil,2,140000,liquid
1005023,Crackz 60ml - Banana Softcake 6mg,Bangil,2,140000,liquid
1005024,Crackz Saltnic Series 30ml - Banana Softcake 25mg,Bangil,1,110000,liquid
1005026,Omnipod Pods Friendly 4 x 15ml - V1 Creamy 12mg,Bangil,4,35000,liquid
1005028,A La Carte 60ml - Butter Break 6mg,Bangil,1,150000,liquid
1005030,Tokyo Banana Strawberry 60ml - 6mg,Bangil,1,160000,liquid
1005031,Paradewa Saltnic Ice Edition 30ml - Anggur Athena 30mg,Bangil,1,125000,liquid
1005032,Paradewa Saltnic Ice Edition 30ml - Apel Zeus 30mg,Bangil,1,125000,liquid
1005036,Suxx Xeed 60ml - Monberry Froyo 6mg,Bangil,1,160000,liquid
1005039,Hiro Ice Cream Series 60ml - Cookies Ice Cream 3mg,Bangil,1,115000,liquid
1005040,Hiro Ice Cream Series 60ml - Cookies Ice Cream 6mg,Bangil,1,115000,liquid
1005041,Hiro Ice Cream Series 60ml - Strawberry Ice Cream 3mg,Bangil,1,115000,liquid
1005042,Hiro Ice Cream Series 60ml - Strawberry Ice Cream 6mg,Bangil,1,115000,liquid
